Age,Gender,Education Level,Marital Status,Income,Credit Score,Loan Amount,Loan Purpose,Employment Status,Years at Current Job,Payment History,Debt-to-Income Ratio,Assets Value,Number of Dependents,City,State,Country,Previous Defaults,Marital Status Change
36,Female,Master's,Married,68776,612,47707,Personal,Unemployed,11,Fair,0.3323967910462594,68491,0,Port Christopher,NY,Brunei Darussalam,1,1
54,Female,Bachelor's,Married,98669,720,19464,Business,Unemployed,2,Poor,0.1679040914919637,26571,0,Smithview,IA,French Polynesia,1,0
19,Non-binary,Master's,Single,112545,712,15503,Home,Unemployed,7,Poor,0.25217285401685385,194154,0,Ibarraport,NJ,Zimbabwe,4,0
39,Non-binary,PhD,Widowed,118717,647,10656,Home,Self-employed,12,Poor,0.18563450376430987,168504,1,Dennismouth,WY,Serbia,,2
48,Male,Bachelor's,Single,,649,38575,Home,Self-employed,3,Fair,0.4300905175730714,143440,3,Kimstad,CT,Taiwan,0,0
64,Male,Bachelor's,Single,52822,636,37391,Business,Employed,12,Excellent,0.49869876320090667,,,Johnsonbury,WV,Pakistan,1,1
44,Non-binary,PhD,Widowed,51280,750,22162,Home,Employed,11,Excellent,0.5501304950345566,87579,3,East Danielmouth,AS,Haiti,1,2
55,Female,Bachelor's,Divorced,63915,,10084,Personal,Employed,7,Good,0.3623974462319608,,2,Wilsonton,MH,San Marino,1,0
34,Female,Master's,Widowed,67046,,11753,Personal,Unemployed,12,Fair,0.31950017526237895,90851,,Hinesberg,DE,Kazakhstan,0,2
65,Male,Master's,Divorced,106526,650,23161,Auto,Employed,19,Poor,0.5448673968438962,98025,4,Richardbury,ID,Armenia,0,0
68,Non-binary,Master's,Married,,700,23834,Auto,Employed,1,Excellent,0.16812370874404223,147082,4,Johnsonview,IL,Netherlands,2,0
47,Female,Bachelor's,Divorced,91691,,42140,Auto,Unemployed,7,Fair,0.5684742445225539,235362,,Andrewside,TX,Greece,1,0
20,Male,Master's,Widowed,,692,16283,Home,Self-employed,4,Good,0.46607552614077896,144758,3,New Laurabury,MA,Somalia,1,1
36,Non-binary,Bachelor's,Widowed,37105,720,33259,Home,Employed,7,Fair,0.41277702763585167,294048,2,Yvonneland,NY,Brunei Darussalam,3,1
62,Female,Bachelor's,Single,31063,793,,Personal,Self-employed,7,Good,0.1439361009741252,226298,1,South Darrell,VI,Latvia,,1
35,Female,High School,Married,,,9833,Personal,Self-employed,17,Fair,0.15549508205473309,131120,2,Cynthiashire,CO,Mexico,,0
66,Female,Bachelor's,Single,,,23993,Personal,Self-employed,19,Poor,0.150792729,60925,2,Thomasmouth,MP,French Southern Territories,,2
50,Non-binary,Master's,Single,56108,796,,Personal,Self-employed,4,Excellent,0.11149470330307934,97144,2,Michelleland,CO,Kazakhstan,3,1
31,Female,Bachelor's,Married,69625,636,15188,Home,Unemployed,19,Excellent,0.5066343734916606,,0,Davisport,NJ,Sao Tome and Principe,1,0
38,Non-binary,Master's,Divorced,82093,726,20454,Home,Self-employed,5,Good,0.1902219589365449,39434,2,East Brian,PW,South Africa,,0
39,Female,Master's,Widowed,100015,615,23114,Business,Unemployed,14,Poor,0.48464249052051134,85309,0,New Meganshire,NV,French Polynesia,3,0
50,Female,Master's,Divorced,96293,708,21552,Auto,Employed,3,Excellent,0.12939420972283414,255942,4,Port Amy,FM,Egypt,0,1
49,Non-binary,Bachelor's,Single,30680,,24840,Auto,Self-employed,5,Excellent,0.24302379830888446,101996,,Port Rebecca,CA,Svalbard & Jan Mayen Islands,3,1
24,Male,Bachelor's,Single,,627,,Personal,Self-employed,12,Fair,0.25569668751490426,147499,3,East Helenhaven,VT,French Southern Territories,4,2
23,Male,Bachelor's,Married,62541,680,,Business,Employed,8,Excellent,0.24454654479820484,,4,Port Joseph,RI,San Marino,,2
38,Non-binary,Bachelor's,Single,48069,670,17841,Home,Unemployed,17,Excellent,0.15751912714088298,241550,2,Jacksonmouth,WA,Jordan,0,2
28,Female,High School,Married,56895,,,Personal,Self-employed,14,Poor,0.2276173239641863,128403,2,North Marcbury,WA,Turkey,1,1
35,Female,PhD,Married,72433,792,5747,Business,Self-employed,4,Good,0.3273739345775527,112076,0,Andreaborough,NC,Thailand,3,2
50,Non-binary,PhD,Divorced,,640,47751,Auto,Self-employed,10,Fair,0.3435551673217264,,3,Cynthiabury,DC,Zimbabwe,4,0
56,Female,Master's,Single,,734,40516,Auto,Self-employed,9,Poor,0.3782068747372548,203231,1,New Zachary,IN,Swaziland,3,1
22,Non-binary,Master's,Widowed,65266,617,34746,Home,Unemployed,18,Poor,0.26894428062818065,40215,4,Taylormouth,ND,Botswana,1,1
40,Male,Master's,Widowed,98578,663,8747,Auto,Self-employed,1,Good,0.5146706368606976,37396,0,Jacobview,WV,Russian Federation,0,1
39,Male,High School,Married,90227,770,18079,Business,Employed,3,Poor,0.5187589537006945,163838,1,South Brianna,GU,Mali,0,1
31,Non-binary,High School,Divorced,107081,740,18101,Business,Employed,5,Poor,0.10879381712622424,25157,2,Gordonbury,AL,Ukraine,1,2
45,Female,High School,Widowed,82878,748,17023,Auto,Self-employed,19,Poor,0.5849112572624202,192705,4,Penamouth,NH,Ethiopia,4,1
62,Non-binary,Bachelor's,Widowed,46439,645,,Auto,Employed,6,Poor,0.443604125,277288,,East Kevinmouth,VI,Togo,,2
34,Non-binary,High School,Widowed,44085,687,,Home,Unemployed,9,Poor,0.44893789146698004,253262,2,Lake Ashleyland,AR,Belize,0,1
19,Male,High School,Married,35817,731,44426,Home,Unemployed,1,Fair,0.5054597465036814,20626,1,East Triciatown,WI,Angola,0,2
49,Non-binary,Bachelor's,Married,54648,,20427,Personal,Unemployed,8,Fair,0.12147299481693427,276619,1,West Mirandaborough,MA,Anguilla,4,0
36,Female,High School,Married,65104,699,44260,Home,Employed,2,Excellent,0.3377617250479925,135458,4,Zacharyhaven,NM,Guatemala,2,2
43,Male,PhD,Married,109698,793,46500,Personal,Self-employed,11,Good,0.3478511554395459,159076,,Tristanland,AZ,United States Minor Outlying Islands,1,1
23,Male,Bachelor's,Single,28906,724,24532,Business,Unemployed,3,Poor,0.500613651,96640,2,Lake Evelynstad,CA,Monaco,0,0
22,Male,Master's,Widowed,104766,764,16117,Business,Unemployed,17,Good,0.21152506121479356,156630,3,New Shannonberg,KY,Gambia,3,1
41,Female,Master's,Widowed,79556,742,5235,Home,Employed,5,Excellent,0.32235613895656123,247857,0,Onealfurt,WA,Romania,4,0
57,Male,Master's,Single,116102,629,31831,Home,Employed,16,Excellent,0.5163625127453508,228018,4,Smithborough,IA,Palestinian Territory,2,0
31,Female,PhD,Widowed,105141,,41006,Auto,Self-employed,3,Good,0.1627741779293815,26499,3,Traceyton,SD,Suriname,1,2
58,Non-binary,High School,Widowed,20947,776,38756,Personal,Unemployed,0,Good,0.2184032242675136,91848,4,North Jeff,MT,Burundi,,1
36,Non-binary,PhD,Single,,660,11157,Home,Self-employed,7,Excellent,0.29757794518609515,,2,Diazton,WV,Guatemala,2,0
52,Male,High School,Married,32094,634,17612,Home,Self-employed,17,Good,0.5494565438929674,114375,2,West Robert,IA,Singapore,2,0
22,Female,High School,Single,67984,,49459,Business,Employed,12,Fair,0.13482981027735172,174044,3,West Daniel,MS,Malawi,,0
55,Non-binary,Master's,Widowed,108177,735,23616,Business,Employed,12,Fair,0.33528435621267094,165613,2,Barneston,CA,Saint Pierre and Miquelon,1,2
44,Female,High School,Divorced,30295,686,,Home,Unemployed,19,Good,0.25278331057851144,,0,East Ian,PW,Costa Rica,0,2
41,Female,PhD,Widowed,96591,722,7260,Home,Employed,12,Fair,0.5844948094433683,102681,0,New Shelby,KS,Lesotho,2,2
33,Male,PhD,Single,,624,47874,Personal,Employed,13,Excellent,0.45520834257353227,28057,1,North Jodyside,NM,Brazil,,1
40,Male,Master's,Married,83865,663,15896,Auto,Unemployed,6,Excellent,0.35870465100780347,,3,West Jeffrey,MT,India,0,2
53,Female,High School,Married,51236,718,31196,Personal,Self-employed,3,Poor,0.16863060735388194,45029,1,Ellenbury,AS,Uruguay,,1
18,Non-binary,Master's,Single,,651,18653,Home,Self-employed,16,Good,0.49222995000773917,226806,0,Curtisville,PW,Mayotte,3,1
37,Non-binary,High School,Divorced,42970,703,,Personal,Employed,12,Poor,0.35868727346888574,,,East Jesse,PW,Finland,1,2
36,Non-binary,PhD,Divorced,101863,688,31132,Business,Employed,2,Poor,0.21940311367980872,149141,3,Dunnhaven,MN,Saint Pierre and Miquelon,,2
67,Male,Master's,Widowed,107366,655,20154,Home,Employed,9,Poor,0.4166178675119605,108345,4,New Valerie,GA,Monaco,4,1
62,Female,PhD,Widowed,101848,699,45635,Home,Self-employed,7,Poor,0.5916533331137226,,,Payneville,NH,Kuwait,,2
60,Female,PhD,Married,74030,711,9459,Personal,Unemployed,19,Fair,0.16067688801782584,96641,2,Lake Daniel,PW,Argentina,0,2
39,Male,Master's,Divorced,56116,636,16578,Personal,Employed,12,Excellent,0.3131077322681647,197835,1,Johnnyberg,NY,South Africa,1,0
59,Male,PhD,Single,103794,,9288,Auto,Unemployed,2,Excellent,0.4121094777318487,195205,,Williamsport,WV,Paraguay,2,1
50,Male,Bachelor's,Married,79300,697,26963,Home,Employed,1,Good,0.21672241925337712,,,New Derekmouth,MH,Mozambique,0,1
64,Male,PhD,Single,101855,686,48584,Auto,Self-employed,9,Good,0.5725244059508022,138039,3,East Keith,MS,El Salvador,3,1
40,Male,PhD,Single,89535,624,12990,Auto,Unemployed,6,Good,0.11735507139335563,48187,,South Haileyview,NC,Suriname,3,2
18,Non-binary,PhD,Divorced,107329,735,22694,Home,Self-employed,1,Poor,0.23280902,71327,4,East Michael,MP,Netherlands Antilles,,1
42,Non-binary,Master's,Widowed,61048,,17631,Business,Employed,19,Excellent,0.26638374685860755,252248,1,Strongport,OH,Russian Federation,3,0
39,Non-binary,High School,Widowed,99622,720,23158,Auto,Employed,6,Good,0.4198139284173301,65046,4,New Ashley,MN,El Salvador,2,1
67,Male,PhD,Divorced,110896,689,11503,Business,Self-employed,9,Excellent,0.10625170343049303,121360,0,New Russellfurt,HI,Jersey,2,0
28,Female,PhD,Single,64541,703,20017,Auto,Self-employed,1,Good,0.2063119883207453,24856,4,Lake Keithtown,MO,Suriname,1,1
53,Non-binary,PhD,Single,26613,771,6982,Auto,Employed,5,Fair,0.10719828661843081,56108,2,Gouldbury,CO,Maldives,,0
40,Male,Bachelor's,Divorced,,721,41599,Auto,Unemployed,19,Fair,0.3639037948038988,234986,,South Amanda,HI,Iran,1,1
31,Female,PhD,Widowed,50885,669,18293,Home,Unemployed,7,Poor,0.2585700348588018,99103,4,Margaretchester,KY,Mayotte,3,2
48,Male,Master's,Divorced,107050,711,14382,Business,Self-employed,3,Excellent,0.5021079663602153,142063,1,New Janet,CT,Samoa,1,1
20,Non-binary,PhD,Divorced,,713,19353,Personal,Self-employed,7,Good,0.5541830828667861,253330,3,Stephanieborough,OR,Bosnia and Herzegovina,,1
20,Non-binary,Master's,Widowed,91540,760,,Business,Employed,16,Poor,0.23262826422509156,177884,,East Territown,NE,Wallis and Futuna,0,0
22,Male,PhD,Single,,632,,Personal,Unemployed,1,Excellent,0.1260012229460931,83144,4,Port Tylermouth,HI,Sweden,3,1
35,Male,High School,Divorced,114877,699,46113,Business,Unemployed,6,Excellent,0.389906857,254153,0,Port Andreamouth,WV,Luxembourg,1,1
36,Female,Bachelor's,Divorced,44283,755,42326,Personal,Self-employed,7,Poor,0.11613530899467392,228890,4,Turnerchester,NV,Micronesia,0,2
59,Female,High School,Single,60385,743,30961,Business,Self-employed,19,Excellent,0.3837790169957481,222830,4,Greenport,WV,Azerbaijan,2,0
28,Male,Master's,Divorced,,618,,Personal,Unemployed,14,Poor,0.34611190134203185,25885,3,South Jeremy,SC,Myanmar,0,0
66,Female,Master's,Divorced,47785,,14137,Auto,Employed,16,Fair,0.3698470664950222,147601,1,South Maria,NM,Czech Republic,4,0
36,Non-binary,Bachelor's,Single,69895,680,13132,Business,Unemployed,18,Poor,0.5932812650426245,,2,Heathermouth,ME,Turkey,0,0
60,Male,High School,Divorced,61559,623,9038,Home,Unemployed,16,Fair,0.5306407750002788,,1,New Kevin,OH,Guinea-Bissau,,1
63,Female,High School,Single,40113,722,5044,Personal,Employed,1,Excellent,0.49624445751087065,159493,3,New Martinberg,OR,Cyprus,,2
43,Female,Bachelor's,Single,29797,727,10640,Business,Self-employed,14,Excellent,0.5093030635544635,89291,4,Frankport,NE,Austria,3,0
39,Non-binary,Bachelor's,Divorced,31137,757,7326,Personal,Unemployed,9,Poor,0.4417942672230454,68848,3,North Nathantown,MN,Indonesia,1,2
62,Female,PhD,Divorced,115923,726,37406,Personal,Self-employed,17,Good,0.2873108782096099,154178,1,West Elizabethside,MA,Peru,2,1
39,Male,High School,Single,117661,763,8876,Home,Unemployed,15,Poor,0.5651184233291675,,2,New Brianshire,PW,Armenia,2,1
22,Female,High School,Widowed,69738,727,15974,Auto,Self-employed,10,Good,0.3874834568199873,238717,1,New Kathryn,OR,Norway,0,1
59,Female,Master's,Divorced,91035,,44865,Personal,Self-employed,5,Poor,0.42750553658288215,,,Kristinfort,AR,Algeria,1,0
37,Non-binary,PhD,Divorced,76795,645,33454,Personal,Self-employed,13,Excellent,0.508511242,40258,4,Andreaborough,NV,Bangladesh,3,0
58,Male,PhD,Single,69029,,39742,Auto,Unemployed,12,Fair,0.3696068464596495,,4,Phillipsbury,AL,American Samoa,4,1
47,Female,PhD,Married,65463,710,,Home,Unemployed,4,Good,0.5093551584284272,230368,4,Anthonyside,NH,Ireland,4,2
58,Non-binary,Bachelor's,Single,,791,34903,Auto,Self-employed,7,Good,0.1774893093553507,236635,3,New Marisashire,NE,Namibia,0,0
51,Non-binary,Bachelor's,Married,40561,632,42722,Personal,Unemployed,3,Good,0.3818998342895037,,,North Feliciaville,VA,Iran,0,2
25,Female,Bachelor's,Single,23159,634,,Business,Employed,11,Good,0.593406902,241024,3,Stevensonborough,NV,Egypt,,2
27,Non-binary,High School,Widowed,61232,643,46522,Business,Unemployed,6,Fair,0.15109907462869607,285561,2,Villafurt,RI,Sao Tome and Principe,2,0
36,Female,Bachelor's,Single,108304,675,46461,Auto,Self-employed,15,Excellent,0.13400432719747615,,0,South Teresaburgh,IL,Japan,1,2
56,Non-binary,Bachelor's,Widowed,,728,42333,Home,Employed,17,Good,0.34546291141135543,,2,Amandabury,NC,Australia,3,2
34,Female,High School,Widowed,118679,731,40823,Auto,Employed,6,Poor,0.3539516327477644,63853,,North Jeremy,AS,Georgia,0,2
65,Male,Master's,Single,89126,643,38741,Auto,Employed,0,Excellent,0.13144915884074995,50589,1,New Julieside,AK,Martinique,4,0
34,Female,PhD,Divorced,35198,718,,Business,Unemployed,9,Good,0.15582877051449454,222837,,Port Matthew,NE,Panama,3,1
66,Non-binary,PhD,Widowed,104677,784,24588,Home,Unemployed,9,Fair,0.30483600218817364,50584,4,South Karen,NM,Finland,4,0
30,Non-binary,PhD,Single,,699,29559,Home,Unemployed,10,Poor,0.1810940029494836,203837,0,North Amber,NE,United States Virgin Islands,0,0
59,Female,Master's,Married,80047,697,42968,Business,Employed,0,Fair,0.3614630396846402,,1,North Theresaville,ID,Samoa,1,1
27,Non-binary,Master's,Divorced,80523,604,13043,Auto,Employed,15,Excellent,0.11227024857802945,201865,3,North Jessicachester,WY,Andorra,4,1
64,Non-binary,PhD,Divorced,117835,640,45787,Business,Self-employed,19,Excellent,0.4121439302538562,,0,Odomfort,HI,Cape Verde,2,0
61,Non-binary,PhD,Divorced,,604,29783,Personal,Employed,13,Excellent,0.41034299102026306,,3,Humphreymouth,CO,Cocos (Keeling) Islands,1,2
67,Female,Bachelor's,Divorced,,750,46529,Auto,Self-employed,19,Fair,0.448739802,290306,0,Hodgesville,NV,Micronesia,0,1
32,Non-binary,Master's,Married,91656,661,,Personal,Self-employed,1,Excellent,0.5152956154404954,,4,Amyview,CO,United Arab Emirates,,2
43,Non-binary,Master's,Single,87687,791,16663,Auto,Unemployed,9,Fair,0.3152256619902848,291278,,Jordanville,CT,Solomon Islands,1,0
46,Female,PhD,Divorced,81289,722,,Auto,Employed,13,Fair,0.2484794393934793,103462,3,East Brenda,TN,Burkina Faso,3,2
56,Female,Bachelor's,Widowed,27807,681,,Personal,Employed,12,Fair,0.49704210348052713,178108,0,Johnbury,WI,Kiribati,2,0
35,Male,Bachelor's,Widowed,,711,15286,Personal,Employed,1,Excellent,0.383451591,156329,,North Taylorville,NV,Niger,2,0
37,Female,PhD,Single,20987,640,8042,Home,Employed,12,Fair,0.44281268384484385,55772,3,Bradleyshire,NE,Falkland Islands (Malvinas),1,1
24,Non-binary,Master's,Widowed,61876,791,7070,Personal,Unemployed,0,Excellent,0.11467353818202344,131369,2,East Stephentown,SD,Slovakia (Slovak Republic),,0
31,Female,Master's,Widowed,108454,716,33552,Personal,Unemployed,8,Poor,0.5880023142661885,24976,,South Danielleview,VT,Chile,2,0
25,Male,Master's,Widowed,,753,,Personal,Self-employed,7,Excellent,0.10468910494693953,101481,2,Lake Brendan,AS,Brunei Darussalam,3,1
18,Female,PhD,Single,87346,,26863,Home,Employed,11,Poor,0.5565990541229334,164061,3,South Jeremyfurt,AK,Cote d'Ivoire,3,1
26,Male,High School,Widowed,28583,611,29949,Personal,Employed,19,Excellent,0.20014379312400668,139629,3,West Ashleyberg,KS,Libyan Arab Jamahiriya,2,0
43,Female,PhD,Divorced,,705,12071,Business,Employed,8,Good,0.11910875606563362,85658,,Andrewshire,DE,Djibouti,2,0
53,Female,High School,Married,31340,790,6687,Business,Self-employed,4,Excellent,0.19511004833942577,,2,Charlesstad,OH,Samoa,,2
41,Male,Bachelor's,Widowed,50737,624,,Auto,Self-employed,4,Good,0.5384229306698457,261675,,Christensenfurt,GA,Yemen,2,1
61,Non-binary,Master's,Widowed,88056,684,9746,Personal,Employed,15,Good,0.361356668,48339,,Meganfurt,NE,Comoros,,0
25,Male,PhD,Single,115287,,9520,Auto,Unemployed,3,Excellent,0.39251233977227307,69459,3,Darrenstad,NH,Iran,1,2
21,Male,Bachelor's,Divorced,39330,769,27489,Home,Self-employed,14,Excellent,0.45461082452773127,284455,3,Martinezmouth,PA,Costa Rica,0,2
52,Non-binary,PhD,Divorced,111594,715,9174,Home,Unemployed,4,Good,0.10081512596719441,137074,2,Victoriamouth,MN,Western Sahara,2,1
27,Female,High School,Divorced,102789,742,10729,Business,Employed,17,Good,0.2713076074217362,269293,0,Lauratown,AL,Vanuatu,1,0
34,Non-binary,Bachelor's,Widowed,,793,21504,Auto,Employed,12,Good,0.4359377412789053,179496,2,Karenton,KS,Mali,2,1
18,Non-binary,High School,Divorced,27313,786,24399,Auto,Self-employed,10,Excellent,0.1510468100347879,284643,4,Traceyshire,FL,North Macedonia,,2
46,Male,PhD,Widowed,87228,602,,Personal,Self-employed,7,Poor,0.5551694329649026,182601,4,Port Scottville,VT,Puerto Rico,4,1
